send_dt,send_time,send_number,category,text,emails_sent,emails_delivered,undeliverable,total_clicks,unique_clicks,unique_opens,unsubscribes,unique_complaints,total_complaints,gifts,revenue,Audience
9/10/2020,1:01:00 AM,1.0,Appeal," ""The Charity""
""""""

Q: ""What is the tone of this subject line?"" The tone should be Charitable.
""""Do you think that a charitable organization would like to use this subject line for an email asking for donations?",83429,83429,1255.0,391.0,270,16842,176,41.0,42.0,87.0,12883.45,Lapsed Donors
9/10/2020,1:01:00 AM,1.0,Appeal," ""I am writing to you today on behalf of the organization I work for. We are a small non-profit charity that helps children in need, and we desperately need your help.
A few months ago our office was broken into, and all",23369,23369,145.0,92.0,90,10452,28,11.0,11.0,62.0,6716.33,First Levels
9/10/2020,1:08:00 AM,1.0,Appeal," ""Dear Sir/Madam, I am writing to you on behalf of the non-profit charity, Food For All. We are an organization that helps feed hungry people in developing countries and we need your help.""

Q: ""Can you",121519,121519,1348.0,268.0,212,29113,183,56.0,57.0,33.0,5964.72,Non Donors
9/10/2020,1:10:00 AM,1.0,Appeal," ""Dear Sir,
I am writing to you on behalf of the Charity ""X"" for a request for solidarity. It is an organization that helps people in need and gives them hope.
Our mission is to help those who struggle with poverty,",119191,119191,2349.0,821.0,589,15352,190,49.0,49.0,93.0,19315.33,PNB
9/10/2020,1:01:00 AM,1.0,Appeal," ""I would like to join the cause and stand with you.""
""""""

Q: ""What is your best example of a subject line that worked well for an email asking for solidarity?""
""""A: ""We need your help. Please",79751,79751,810.0,382.0,258,9646,83,28.0,28.0,13.0,1532.05,Lapsed Donors
9/10/2020,1:08:00 AM,1.0,Appeal," ""Hello,

I am writing to you on behalf of the charity ""Charity name"". I am contacting you because we believe that your organization and ours share a common goal: helping people in need. We are asking for your help with our",118422,118422,1778.0,448.0,308,18676,177,57.0,57.0,106.0,19009.11,Non Donors
9/10/2020,1:01:00 AM,1.0,Appeal," ""I am writing to you from the Anti-Discrimination League. We are a non-profit organization that fights discrimination and hate in all its forms, including racism, sexism, homophobia and transphobia.
We have been working for many years",275329,275329,3121.0,1034.0,912,44615,319,103.0,102.0,79.0,14524.2,Lapsed Donors
11/11/2020,7:01:48 PM,1.0,Appeal," ""Dear [First Name],

I am writing to ask you for your support in the fight against global warming. As a member of our community, I know that you are concerned about how we will meet the challenges facing us as a result of",7492,7492,346.0,303.0,204,1853,21,9.0,9.0,65.0,20432.96,Lapsed Donors
11/11/2020,7:01:50 PM,1.0,Appeal," ""A good subject line should be very specific and make it clear what the email is about. It also helps to include a benefit for the reader in their first sentence.
If you are writing an appeal asking for money, then this can be included",105014,105014,1090.0,130.0,83,20586,113,40.0,40.0,77.0,8628.13,Lapsed Donors
11/11/2020,7:01:47 PM,1.0,Appeal," ""Please help us to stop the war in Syria. We need your solidarity.""
""""""
Q: ""What is the tone of this subject line?"" The email should be a follow-up after an interview or consultation with a client.
""""",103558,103558,1150.0,967.0,900,25811,184,47.0,48.0,35.0,9219.54,Lapsed Donors
11/11/2020,7:01:50 PM,1.0,Appeal," ""I have a friend who is in need of your help. He has been diagnosed with cancer and needs surgery to remove it. The operation will cost him about $4,000. I know there are many people out there that would love to help",42266,42266,758.0,82.0,74,5357,74,26.0,27.0,73.0,16324.59,Lapsed Donors
11/11/2020,7:00:50 PM,1.0,Appeal," ""Hi There,

I'm writing to you because I've been reading about the terrible situation in your country and wanted to see if there was anything we could do together. We are a small charity based here in [country]. Our funds go",104781,104781,1074.0,318.0,265,26284,104,34.0,35.0,96.0,17466.44,Partners
11/11/2020,7:01:50 PM,1.0,Appeal,"

""Hello, I am a volunteer for the XYZ Foundation. We are trying to raise money for our new program: ABC Program. The funds will be used to provide free meals and uniforms to children in need of help.""

B",78480,78480,1277.0,220.0,236,14618,156,54.0,56.0,53.0,7793.6,First Levels
11/11/2020,7:01:42 PM,1.0,Appeal,"

Dear Sir/Madam, I am writing to you on behalf of the [insert name of a non-profit charity]. The [insert name of a non-profit charity] is an organization that helps people in need and provides them with",25074,25074,208.0,63.0,84,6390,13,6.0,6.0,68.0,19891.5,Lapsed Donors
11/11/2020,7:01:50 PM,1.0,Appeal," (Sender)
Dear Sir/Madam,
We are a non-profit organization that helps people in need. We have been doing this for many years and we would like to ask you to support us with your donation. To learn more",46266,46266,434.0,95.0,115,5871,37,4.0,4.0,52.0,11464.7,Lapsed Donors
11/11/2020,7:01:50 PM,1.0,Appeal," ""Dear Sir, Could you please help me to rescue my sister? She is a young woman in her early twenties and she has been kidnapped by the terrorist group called ""The Islamic State of Iraq and Syria"" (ISIS) who are currently holding her",101786,101786,1251.0,91.0,73,14656,91,30.0,30.0,19.0,2118.77,First Levels
11/11/2020,7:00:46 PM,1.0,Appeal," ""Dear Sir/Madam,
We are a small non-profit organization that helps children in need. We have been working on a project to help the homeless people in our city. We have organized food drives and clothes collection centers but we could",27318,27318,420.0,107.0,150,5666,35,10.0,9.0,51.0,11386.27,PNB
11/11/2020,7:01:10 PM,1.0,Appeal," ""We are requesting your solidarity for the victims of a recent disaster. We need $10,000 to help rebuild their homes and restore their livelihoods.""

B: ""Please show your support for the people affected by last month's flood in",11107,11107,157.0,217.0,184,1261,17,5.0,4.0,40.0,12562.96,Non Donors
11/11/2020,7:00:58 PM,1.0,Appeal," ""We are a non-profit organization. We work for the benefit of the public and we do not have any political or religious affiliations. Our goal is to help people in need, regardless of their race, religion or gender.""

Q",71745,71745,696.0,315.0,246,11339,92,24.0,24.0,14.0,3390.89,Field Partners
11/12/2020,11:01:51 PM,2.0,Appeal," ""Subject: A quick question.
Hello, I’m a graphic designer and I have been working on an idea for our non-profit organization that would help us in the fundraising area. We are looking to get more people involved with our",73891,73891,910.0,576.0,483,20855,77,30.0,30.0,87.0,17787.56,First Levels
11/12/2020,11:01:51 PM,2.0,Appeal," ""I am writing to ask you for your help with a project I'm working on. This is an important issue and I hope that you will support it.""

Q: ""What would be the tone of an email from a non-profit",63147,63147,1141.0,309.0,293,12361,182,50.0,50.0,50.0,5289.08,Lapsed Donors
11/12/2020,11:01:51 PM,2.0,Appeal,"

Dear [name],
I am writing to you on behalf of the [organization name] non-profit organization. We are a humanitarian charity that helps people in need all over the world. Our goal is to help those who cannot afford",39417,39417,583.0,58.0,56,6092,56,17.0,17.0,93.0,24867.45,Lapsed Donors
11/12/2020,11:01:43 PM,2.0,Appeal," """"Dear Sir/Madam,
We are a non-profit charity organization. We have been working in the community for over 30 years. The work we undertake is to help people who are less fortunate than us and need our support. Unfortunately,",18278,18278,240.0,75.0,69,4401,43,4.0,4.0,34.0,3973.96,Lapsed Donors
11/12/2020,11:01:06 PM,2.0,Appeal," ""If you are a human being, please help us.""

Q: ""Can you write a sample subject line for an email from a non-profit charity asking for solidarity? The tone of the email should be Confident.
""""
",167658,167658,1110.0,848.0,642,38946,178,52.0,52.0,169.0,37874.85,Non Donors
11/12/2020,11:01:51 PM,2.0,Appeal,"

Dear [NAME],
I am writing to you as an individual horrified by the situation in [LOCATION] and wishing to express my solidarity with those who are suffering. I know that there is nothing I can do personally, but if every",59462,59462,664.0,596.0,410,13333,18,14.0,13.0,154.0,21654.37,First Levels
11/12/2020,11:01:51 PM,2.0,Appeal,"

""Dear Sir/Madam,
I am writing to you on behalf of the ""Save the Planet Foundation"". We are a non-profit organization whose goal is to save our planet. People like you can help us achieve this goal by",163020,163020,1679.0,773.0,741,31444,105,62.0,62.0,213.0,36982.49,Lapsed Donors
11/12/2020,11:01:51 PM,2.0,Appeal,"

B:

C:

",162768,162768,1496.0,517.0,349,29516,134,40.0,39.0,30.0,1391.37,Lapsed Donors
11/12/2020,11:01:50 PM,2.0,Appeal,"

And another one:
Q. Can you write a sample subject line for an email from a non-profit charity asking for solidarity? The tone of the email should be Emotional.
""""
A:

",192594,192594,2406.0,1079.0,868,44311,346,106.0,109.0,139.0,26457.54,Lapsed Donors
11/13/2020,9:00:48 PM,3.0,Appeal,"

Subject: I'm writing to ask you for help.
Dear [name],
I am writing to ask you for help.  You may have seen the heartbreaking photo of Omran Daqneesh, a five-year old",11101,11101,256.0,101.0,91,402,23,9.0,9.0,0.0,289.94,PNB
11/13/2020,9:00:57 PM,3.0,Appeal,"

""Hello, my name is John Doe. I am the founder of YYY charity organization and our mission is to help poor children. Our organization has just been officially registered in California few months ago and we are now looking for financial support from",41423,41423,646.0,379.0,277,7589,100,33.0,33.0,130.0,25758.97,First Levels
11/13/2020,9:00:53 PM,3.0,Appeal,"

Q:
Can you write a sample subject line for an email from a non-profit charity asking for solidarity? The tone of the email should be Inquisitive.
A:  ""What can I do to help?"" is the",144745,144745,1934.0,317.0,237,27167,132,50.0,53.0,63.0,16107.9,Lapsed Donors
11/13/2020,9:00:53 PM,3.0,Appeal,"

""Dear Sir/Madam,
We are an independent non-profit organization that is dedicated to protecting and promoting the rights of minorities. We have recently learned about a serious incident in your country where a young girl was brutally murdered. The",35486,35486,340.0,29.0,16,4939,12,5.0,5.0,27.0,3323.46,Lapsed Donors
11/13/2020,9:00:53 PM,3.0,Appeal," ""Dear Sir/Madam,
I am writing to you on behalf of the ""name"" organization. We are a non-profit organization that is working towards bringing about social change in society by supporting disadvantaged groups and people. Our current project involves",29402,29402,1058.0,327.0,265,8547,71,20.0,22.0,29.0,10411.23,Lapsed Donors
11/13/2020,9:01:10 PM,3.0,Appeal," ""Subject: A chance to help the poor in Africa""

B: ""Subject: The children are dying, please help.""
""Body:"" It's a message from Save the Children. Please give what you can. (Donate now",71438,71438,1902.0,442.0,269,16127,124,59.0,58.0,17.0,4857.86,Non Donors
11/13/2020,9:00:54 PM,3.0,Appeal,"

Dear Sir/Madam,
Can you help me to find a job in your country? I have 5 years of experience as an accountant. My email is xxx@xxx.com and my phone number is +1-XXX-",126816,126816,1802.0,406.0,315,15296,134,37.0,38.0,23.0,3609.1,Partners
7/19/2022,1:00:41 PM,1.0,Cultivation," ""Dear NPO supporter,
Our organization is dedicated to providing support and educational services for those affected by [insert cause here]. We would like to ask you a few questions about your experiences with our organization and how we might improve. Please take a",95701,95701,1056.0,145.0,117,17645,113,31.0,31.0,40.0,8246.75,First Levels
3/30/2020,12:15:41 AM,1.0,Appeal,"

B:

C:

",35968,35968,453.0,306.0,230,6992,62,17.0,17.0,16.0,7714.53,Lapsed Donors
3/30/2020,12:00:59 AM,1.0,Appeal,"

The email should be sent in a tone that is not too formal, but also not too informal. The subject line itself should reflect the urgency of the situation and it should convey to the reader that they're needed immediately. This can be done",46053,46053,86.0,278.0,195,9187,60,10.0,10.0,,,First Levels
3/30/2020,12:05:42 AM,1.0,Appeal,"

Subject: Urgent appeal for solidarity towards the victims of the earthquake in Haiti
Dear Friends,
The Haitian people are facing a grave disaster. The capital city Port-au-Prince and other towns have been devastated by an earthquake which has",179246,179246,2223.0,730.0,559,38733,139,57.0,59.0,134.0,24377.09,Lapsed Donors
3/30/2020,12:10:52 AM,1.0,Appeal," ""Hi,
Thank you for your interest in our campaign. We are trying to stop the government from using tear gas on women and children during protests. 
We have a petition that we would like you to sign at www.savethechildren",91183,91183,1570.0,576.0,438,21586,193,79.0,78.0,81.0,12610.19,Lapsed Donors
3/30/2020,12:20:52 AM,1.0,Appeal,"

Q:
Can you write a sample subject line for an email from a non-profit charity asking for solidarity? The tone of the email should be Warm.
""The purpose of this request is to inform you that we are launching our",104273,104273,960.0,337.0,274,15956,78,31.0,30.0,256.0,45780.91,Non Donors
3/31/2020,,2.0,Appeal," ""I think it's very important that we all do whatever we can to help the people of [name of country] recover from this terrible disaster. I'm sure you'll agree that any amount will make a difference, and even if you give just",160677,160677,1681.0,304.0,261,31279,151,45.0,47.0,151.0,30147.62,Lapsed Donors
3/31/2020,,2.0,Appeal,"

Subject: [Your name] is raising funds for the victims of Hurricane Katrina.
As you may know, a hurricane hit New Orleans last week and it has caused tremendous damage to the city. More than a thousand people were killed in this",24870,24870,76.0,181.0,134,5563,8,10.0,9.0,64.0,9085.67,Lapsed Donors
3/31/2020,,2.0,Appeal," ""Dear [First Name],
We are writing to you on behalf of the [charity name] organization.
As you know, [insert a few lines about the charity's mission here]. 
The reason for this email is that we",152169,152169,2939.0,536.0,465,33943,174,69.0,68.0,112.0,22700.3,Lapsed Donors
3/31/2020,,2.0,Appeal," ""I am a student and I have been asked to write an email from a non-profit charity asking for solidarity. I need help with the tone of the email.""

Q: ""Can you give me some examples of subject lines for emails",73315,73315,1491.0,604.0,480,17550,156,36.0,38.0,93.0,10698.44,First Levels
3/31/2020,,2.0,Appeal," ""To all our friends,
We have been working hard to solve the problems of hunger and homelessness. We hope you will join us in supporting this effort by giving your time or money.
In solidarity, 
John Doe""
""""""

",31872,31872,334.0,131.0,82,3117,25,11.0,12.0,18.0,3766.63,Lapsed Donors
3/31/2020,,2.0,Appeal," ""Hello my name is X. I am the founder of Y. We are a non-profit organization that helps people in need.""

Q: ""Can you write a sample subject line for an email from a non-profit charity asking for",8423,8423,145.0,53.0,37,703,29,2.0,2.0,29.0,15078.67,Lapsed Donors
3/31/2020,,2.0,Appeal," ""I don't know of any non-profit charity asking for solidarity, but if I did, here is what I would write:
""""Dear Sir/Madam,""""
""""""
B: """"Hi! My name is [name].",199264,199264,2856.0,1243.0,968,43352,298,101.0,104.0,130.0,25340.47,First Levels
3/31/2020,,2.0,Appeal,"

""Hello, my name is Annette and I am a nurse. I work with children who are ill, both physically and mentally. I have been working in this job for over 10 years now and it has taken its toll on me.",123193,123193,1028.0,546.0,389,29439,161,54.0,53.0,92.0,22102.06,Lapsed Donors
3/31/2020,,2.0,Appeal,"

""Dear Sir/Madam,
As an avid supporter of the arts in our community I am writing to you today to ask for your help with a very important cause. Last month we had one of our biggest fundraising events yet and raised",148898,148898,1338.0,351.0,319,26768,125,49.0,50.0,69.0,11349.04,Non Donors
3/31/2020,,2.0,Appeal,"

Subject: New Year's resolution? How about a donation to help the homeless!
Hello,<br>
I am writing to you on behalf of ASPCA. We are trying to raise awareness for animal abuse in shelters and we need",65724,65724,1477.0,697.0,466,17640,87,47.0,48.0,54.0,20168.59,Non Donors
3/31/2020,11:30:57 PM,3.0,Appeal," ""Dear Mr. Smith,

I am writing from the Civil Society Organization ""X"" with a request for solidarity. We are currently in need of your support to raise awareness about our cause and we hope that you will be able to help us",16853,16853,369.0,201.0,171,4689,29,22.0,23.0,97.0,22365.62,Non Donors
3/31/2020,11:30:43 PM,3.0,Appeal," ""How can I help?""
""""""

Q: ""What is the difference between a call to action and a subject line? Which one should be used in an email from a non-profit charity asking for solidarity?""
A: ""The",176930,176930,2132.0,726.0,588,29879,166,68.0,70.0,141.0,28249.48,Lapsed Donors
3/31/2020,11:30:43 PM,3.0,Appeal," My name is John Smith and I am writing on behalf of the ""Worldwide Volunteers"" organization. 
We are a non-profit organization that helps people in need around the world by offering them our services for free. We have been helping children",1735,1735,107.0,3.0,4,102,2,0.0,0.0,3.0,738.78,Lapsed Donors
3/31/2020,11:30:43 PM,3.0,Appeal," ""Subject: We need your help
Body: Dear Friend,
We are a non-profit organization in the United States that is doing humanitarian work for underprivileged children living in villages across India. We have been working with these children for past",164964,164964,3008.0,964.0,735,27952,237,96.0,96.0,,,Lapsed Donors
3/31/2020,11:30:57 PM,3.0,Appeal,"

""Hey [first name], I just got an email from a charity asking me to donate. It was very exciting! What do you think?""

The tone of the email should be Exciting. The subject line is more casual than",194355,194355,2155.0,540.0,384,42954,219,49.0,49.0,35.0,4829.21,First Levels
12/26/2019,1:05:59 PM,1.0,Appeal," ""Dear all,
We are a non-profit organization that aims to help people in need. We want to encourage you to donate money for our cause and save as many lives as possible.""
Subject: Urgent action required - Save the Children",97641,97641,775.0,848.0,652,20024,118,29.0,29.0,6.0,901.93,Partners
12/26/2019,1:05:58 PM,1.0,Appeal,"
Dear Sir,
I am writing to you in my capacity as the Secretary of the Save The Children Federation. I would like to inform you that we are a non-profit organization working for the welfare of children across India and abroad. We have",155332,155332,1150.0,666.0,563,33410,218,62.0,60.0,81.0,9469.22,First Levels
12/26/2019,1:05:50 PM,1.0,Appeal,"

""Dear Sir/Madam,

I am writing to you on behalf of the ""Save The Children Foundation"", a non-profit charity organization. We are seeking your help and support in order to continue our humanitarian efforts around the world",54201,54201,1038.0,412.0,351,17610,168,19.0,20.0,,,Lapsed Donors
12/26/2019,1:05:58 PM,1.0,Appeal," Dear Sir/Madam,
I am writing to you on behalf of the National Association for the Advancement of Colored People (NAACP) a non-profit organization that is working towards ending racial discrimination.
The NAACP has been in existence",121271,121271,977.0,322.0,244,30724,102,64.0,64.0,168.0,27025.66,Non Donors
12/26/2019,1:05:50 PM,1.0,Appeal," ""I am writing to you on behalf of the National Association for the Advancement of Colored People (NAACP). I hope that this email finds you well.

On February 8th, 2014, George Zimmerman was found not guilty in the",105021,105021,1747.0,815.0,691,26939,65,24.0,26.0,56.0,12262.57,Lapsed Donors
12/26/2019,1:05:49 PM,1.0,Appeal," ""Dear friend, I'm writing to you on behalf of the Non-Profit Organization. We are a group of volunteers who work tirelessly to help the people in need and we do not accept any donations or payments from our supporters. Our only goal",49777,49777,1016.0,188.0,152,7982,68,28.0,27.0,42.0,6841.58,Lapsed Donors
12/26/2019,1:05:46 PM,1.0,Appeal," ""I am writing to ask you for solidarity. I am a member of an organization which is trying to help the people who are suffering in [country]. We have been doing this work for five years and we are now running out of funds. The",107837,107837,1819.0,673.0,600,24135,232,46.0,47.0,46.0,9478.29,PNB
12/26/2019,1:05:53 PM,1.0,Appeal," ""I am writing to you as a concerned citizen of the world. I have seen your name on the list of supporters for ""X"" and would like to know more about why you decided to support them.""

Q: Can you write a",115218,115218,906.0,128.0,155,11283,82,13.0,13.0,8.0,1116.22,Partners
12/27/2019,2:15:48 PM,2.0,Appeal," ""Dear Sir/Madam,
We are a non-profit organization. We have recently been established in the city of XXXXXX to help students and youth who suffer from mental health problems. Our main goal is to provide them with free psychological",28587,28587,644.0,675.0,549,3378,75,21.0,20.0,21.0,3116.76,Partners
12/27/2019,2:15:47 PM,2.0,Appeal,"
Subject: The Syrian refugee crisis
Dear Sir/Madam, I would like to draw your attention to the plight of millions of refugees fleeing Syria.  Millions of Syrians have been displaced by a conflict that has lasted more than three years and claimed",116605,116605,745.0,301.0,287,18757,109,29.0,29.0,78.0,17860.58,Lapsed Donors
12/27/2019,2:15:48 PM,2.0,Appeal," ""Dear Mr. John Smith,

I am writing on behalf of the African Wildlife Foundation (AWF), a non-profit organization that conserves wildlife and wild lands in Africa, Asia, and Latin America by creating solutions to critical conservation challenges",52868,52868,528.0,219.0,209,11313,71,6.0,5.0,26.0,10824.03,Partners
12/27/2019,2:16:00 PM,2.0,Appeal," ""Dear Sir/Madam,
I am writing to you on behalf of the XXXXXXX organization. We are a non-profit charity that works in developing countries such as XXXXXXXX and XXXX. Our mission is to improve quality of",87108,87108,1261.0,480.0,377,13514,98,28.0,30.0,65.0,15294.43,First Levels
12/27/2019,2:15:48 PM,2.0,Appeal," ""Dear [name],
I am writing to you on behalf of the [charity name] charity, which is a non-profit organization that helps disadvantaged people in developing countries. We are currently working with the [charity project name]. The",166142,166142,2608.0,641.0,431,28930,158,75.0,72.0,71.0,14113.23,Lapsed Donors
12/27/2019,2:15:48 PM,2.0,Appeal," ""We are a local charity that provides care and support for the elderly in our community. We need your help to continue this vital work.""

B: ""Your donation will go towards providing beds, wheelchairs, food and medicines for those who",174158,174158,2564.0,876.0,710,25560,236,65.0,67.0,133.0,30049.91,Lapsed Donors
12/27/2019,2:15:40 PM,2.0,Appeal,"
Dear Sir/Madam,
I am writing from the International Committee of the Red Cross (ICRC), which is a non-profit organization working in over 60 countries to help victims of armed conflict and violence. We are seeking your support for",95060,95060,494.0,349.0,255,18756,139,48.0,49.0,31.0,6026.18,PNB
12/27/2019,2:15:48 PM,2.0,Appeal,"

""""""

B: 
""Dear Sir/Madam, I am writing to you on behalf of the World Wildlife Fund. We are an international conservation organization working towards protecting endangered species and their habitats. Our aim is to preserve biodiversity",61320,61320,978.0,167.0,164,7400,123,24.0,24.0,,,Non Donors
12/28/2019,2:05:59 PM,3.0,Appeal,"

""Dear Sir/Madam,
I am writing to you on behalf of the International Humanitarian Relief Organization for Victims of War. We are a non-profit humanitarian organization based in the United States and we provide relief and aid to war",111916,111916,990.0,375.0,275,21264,140,67.0,69.0,107.0,14834.02,Lapsed Donors
12/28/2019,2:06:11 PM,3.0,Appeal,"

B:

C:

",121151,121151,1337.0,748.0,609,17433,66,40.0,42.0,120.0,21851.89,Partners
12/28/2019,2:06:00 PM,3.0,Appeal," ""Dear friends,
I am writing to you on behalf of the African Children's Aid Education and Development Foundation (ACAEDF), a non-profit charity that has been working in Africa for 25 years. ACAEDF is currently responding to the",32808,32808,513.0,350.0,234,4963,20,13.0,12.0,6.0,2016.89,Lapsed Donors
12/28/2019,2:06:09 PM,3.0,Appeal," ""Dear friend, I'm writing to you in the hope that you can help. My name is [name] and I work for [charity]. We are a small charity based in [city/town], working hard to make a difference.",91056,91056,949.0,385.0,318,18095,172,10.0,10.0,12.0,3067.93,Non Donors
12/28/2019,2:06:01 PM,3.0,Appeal," """"""

A: """"""

A: """"""

",84626,84626,1498.0,499.0,435,11681,130,26.0,26.0,78.0,18446.47,Lapsed Donors
12/28/2019,2:05:59 PM,3.0,Appeal,"

""Dear friend,
I am writing to you on behalf of a non-profit organization that helps children in need. The money we raise goes directly to the causes we support. Our recent campaign was about protecting children from sexual exploitation and abuse",95210,95210,1402.0,409.0,272,23545,109,58.0,57.0,200.0,28612.34,PNB
12/28/2019,2:06:09 PM,3.0,Appeal," ""Subject: [SPAM] This is the spam content of this email""
""""""
",15174,15174,731.0,197.0,112,2806,49,24.0,24.0,27.0,7195.6,First Levels
12/28/2019,2:05:58 PM,3.0,Appeal,"

""Subject: Your support needed
Dear [First name],
[Your organisation] is a charity helping children in need. We are currently running an appeal to help raise funds for the [Project title]. Our goal is to help as many",90475,90475,1073.0,590.0,427,22733,77,19.0,19.0,16.0,2511.9,Partners
12/29/2019,2:35:50 PM,4.0,Appeal," How should I write the subject line?
""""""

A: How should I write it? 

",84168,84168,893.0,627.0,417,17252,165,29.0,29.0,73.0,10670.76,Lapsed Donors
12/29/2019,2:35:50 PM,4.0,Appeal,"

Dear [name],
Thank you for your email. I am sorry to hear that you are having such a hard time, and that you have been unable to find work in the current economic climate. My own family has also struggled since my",179102,179102,1134.0,703.0,509,31728,179,72.0,74.0,106.0,10602.99,Lapsed Donors
12/29/2019,2:35:49 PM,4.0,Appeal," Dear Sir/Madam,
We are a non-profit charity organization. Recently we have been sending out emails and postcards to gather solidarity from people like you. We hope that you will be able to help us by sending the donation of $",16641,16641,359.0,116.0,98,1223,11,9.0,9.0,72.0,12797.51,First Levels
12/29/2019,2:35:49 PM,4.0,Appeal,"

Dear Mr. X,
I am writing to you on behalf of the non-profit organization ""Child Rescue"" that works for the protection and safety of children in South America. We feel obliged to inform you about what is happening there with",120884,120884,1418.0,176.0,170,18883,126,35.0,37.0,88.0,17431.2,Lapsed Donors
12/29/2019,2:35:49 PM,4.0,Appeal,"

Dear [NAME],
We at the [ORGANIZATION] are asking you to join us in solidarity with our cause. We need your help! Our mission is to...[STATE MISSION]. I hope that you will consider joining",133527,133527,1114.0,460.0,433,22419,148,33.0,33.0,107.0,20988.07,Non Donors
12/30/2019,10:15:46 AM,5.0,Appeal," ""Dear Sir/Madam,
""I am writing to you on behalf of the ___________ (name of non-profit). We are a charity organization that helps people in need. As part of our activities we have been working with refugee",93539,93539,1349.0,421.0,427,8659,133,55.0,57.0,46.0,9084.4,Lapsed Donors
12/30/2019,10:15:56 AM,5.0,Appeal,"

B:
""""""
A:  ""Dear Sir/Madam, I am writing to ask you for your support in our campaign against the closure of local youth clubs. Over the last year we have found that many young people are",65246,65246,1964.0,221.0,113,11608,84,36.0,36.0,55.0,13090.42,Partners
